BranDe00,Branch,Deion,2006,sea,wr,14,,0,0,0,0,0,4,30,0,53,725,4,;
BranJa00,Branch,Jamaal,2006,nor,rb,1,,0,0,0,0,0,10,29,0,5,14,1,;
BreeDr00,Brees,Drew,2006,nor,qb,16,,356,554,4418,26,11,42,32,0,0,0,0,;
BronJo00,Bronson,John,2006,crd,te,2,,0,0,0,0,0,0,0,0,1,25,0,;
BrooAa00,Brooks,Aaron,2006,rai,qb,8,,110,192,1105,3,8,22,124,0,0,0,0,;
BrouNe00,Broughton,Nehemiah,2006,was,rb,2,,0,0,0,0,0,0,0,0,0,0,0,;
BrowCh03,Brown,Chris,2006,oti,rb,5,,0,0,0,0,0,41,156,0,2,4,0,;
BrowDe02,Brown,Dee,2006,kan,rb,15,,0,0,0,0,0,10,24,0,1,5,0,;
BrowRe01,Brown,Reggie,2006,phi,wr,16,,0,0,0,0,0,3,24,1,46,816,8,;
BrowRo05,Brown,Ronnie,2006,mia,rb,13,,0,1,0,0,0,241,1008,5,33,276,0,;
BrowTr00,Brown,Troy,2006,nwe,wr,16,,0,0,0,0,0,2,18,0,43,384,4,;
BrucIs00,Bruce,Isaac,2006,ram,wr,16,,0,1,0,0,0,0,0,0,74,1098,3,;
BrueMa00,Bruener,Mark,2006,htx,te,15,,0,0,0,0,0,0,0,0,9,62,2,;
BrunMa00,Brunell,Mark,2006,was,qb,10,,162,260,1789,8,4,13,34,0,0,0,0,;
BryaAn00,Bryant,Antonio,2006,sfo,wr,14,,0,0,0,0,0,0,0,0,40,733,3,;
BrysSh00,Bryson,Shawn,2006,det,rb,6,,0,0,0,0,0,2,1,0,8,98,1,;
BuchWi01,Buchanon,William,2006,rai,wr,1,,0,0,0,0,0,0,0,0,1,9,0,;
BuckCo00,Buckhalter,Correll,2006,phi,rb,16,,0,0,0,0,0,83,345,2,24,256,1,;
BulgMa00,Bulger,Marc,2006,ram,qb,16,,370,588,4301,24,8,18,44,0,0,0,0,;
BurlNa00,Burleson,Nate,2006,sea,wr,16,,0,0,0,0,0,0,0,0,18,192,2,;
BurrPl00,Burress,Plaxico,2006,nyg,wr,15,,0,0,0,0,0,0,0,0,63,988,10,;
BushRe00,Bush,Reggie,2006,nor,rb,16,,0,1,0,0,1,155,565,6,88,742,2,;
ByrdDo00,Byrd,Dominique,2006,ram,te,5,,0,0,0,0,0,0,0,0,2,39,1,;
CaldRe00,Caldwell,Reche,2006,nwe,wr,16,,0,0,0,0,0,1,5,0,61,760,4,;
CalhBr00,Calhoun,Brian,2006,det,rb,7,,0,0,0,0,0,7,19,0,2,20,0,;
CamaGr00,Camarillo,Greg,2006,sdg,wr,4,,0,0,0,0,0,0,0,0,0,0,0,;
CampDa00,Campbell,Dan,2006,det,te,16,,0,0,0,0,0,0,0,0,21,308,4,;
CampJa00,Campbell,Jason,2006,was,qb,7,,110,207,1297,10,6,24,107,0,0,0,0,;
CampMa00,Campbell,Mark,2006,nor,te,14,,0,0,0,0,0,0,0,0,18,164,0,;
CarrDa00,Carr,David,2006,htx,qb,16,,302,442,2767,11,12,54,193,2,0,0,0,;
CartDr00,Carter,Drew,2006,car,wr,14,,0,0,0,0,0,2,18,0,28,357,3,;
CartJa00,Carter,Jason,2006,min,wr,1,,0,0,0,0,0,0,0,0,0,0,0,;
CartRa00,Carthon,Ran,2006,clt,rb,3,,0,0,0,0,0,3,4,1,0,0,0,;
CartRo01,Cartwright,Rock,2006,was,rb,16,,0,0,0,0,0,5,15,0,0,0,0,;
CartTi00,Carter,Tim,2006,nyg,wr,16,,0,0,0,0,0,0,0,0,22,253,2,;
CasoAv00,Cason,Aveion,2006,det,rb,6,,0,0,0,0,0,24,94,0,5,26,0,;
CassMa00,Cassel,Matt,2006,nwe,qb,6,,5,8,32,0,0,2,4,0,0,0,0,;
ChamCh00,Chambers,Chris,2006,mia,wr,16,,0,0,0,0,0,8,95,0,59,677,4,;
