CrumAl00,2008,oti,1,jax,0,0,0,0,0,0,0,1,4,0
GageJu00,2008,oti,1,jax,0,0,0,0,0,0,0,2,25,0
HallAh00,2008,oti,1,jax,0,0,0,0,0,0,0,1,2,0
JoneGr01,2008,jax,1,oti,0,0,0,0,0,0,0,3,13,1
JoneMa00,2008,jax,1,oti,0,0,0,0,0,0,0,6,80,0
FlacJo00,2008,rav,1,cin,15,29,129,0,0,4,37,0,0,1
HeapTo00,2008,rav,1,cin,0,0,0,0,0,0,0,1,5,0
HousTJ00,2008,cin,1,rav,0,0,0,0,0,0,0,3,44,0
WardHi00,2008,pit,1,htx,0,0,0,0,0,0,0,6,76,2
SpaeMa00,2008,pit,1,htx,0,0,0,0,0,0,0,1,6,0
RoetBe00,2008,pit,1,htx,13,14,137,2,0,2,17,0,0,0
WaltKe00,2008,htx,1,pit,0,0,0,0,0,0,0,3,41,1
SchaMa00,2008,htx,1,pit,25,33,202,1,2,2,4,0,0,1
SlatSt00,2008,htx,1,pit,0,0,0,0,0,13,43,3,6,0
WillRi00,2008,mia,1,nyj,0,0,0,0,0,10,24,4,15,0
PennCh01,2008,mia,1,nyj,26,43,251,2,1,0,0,0,0,0
MartDa00,2008,mia,1,nyj,0,0,0,0,0,0,0,4,53,1
WashLe00,2008,nyj,1,mia,0,0,0,0,0,6,9,2,17,0
StucCh20,2008,nyj,1,mia,0,0,0,0,0,0,0,2,37,1
BradTo00,2008,nwe,1,kan,7,11,76,0,0,0,0,0,0,0
EvanHe00,2008,nwe,1,kan,0,0,0,0,0,2,3,0,0,0
CassMa00,2008,nwe,1,kan,13,18,152,1,0,4,13,0,0,0
BoweDw00,2008,kan,1,nwe,0,0,0,0,0,0,0,5,49,1
CharJa00,2008,kan,1,nwe,0,0,0,0,0,5,28,2,6,0
Cox_Mi20,2008,kan,1,nwe,0,0,0,0,0,0,0,2,6,0
CroyBr00,2008,kan,1,nwe,11,19,88,0,0,0,0,0,0,0
DougHa00,2008,atl,1,det,0,0,0,0,0,1,7,0,0,0
CampDa00,2008,det,1,atl,0,0,0,0,0,0,0,1,21,0
BaskHa00,2008,phi,1,ram,0,0,0,0,0,0,0,2,102,1
FitzCa00,2008,det,1,atl,0,0,0,0,0,0,0,1,1,1
BookLo00,2008,phi,1,ram,0,0,0,0,0,5,9,0,0,0
BuckCo00,2008,phi,1,ram,0,0,0,0,0,2,5,0,0,0
CeleBr00,2008,phi,1,ram,0,0,0,0,0,0,0,2,15,0
BennDr00,2008,ram,1,phi,0,0,0,0,0,0,0,1,4,0
BulgMa00,2008,ram,1,phi,14,26,158,0,0,0,0,0,0,0
WardDe01,2008,nyg,1,was,0,0,0,0,0,9,39,2,21,0
SmitSt02,2008,nyg,1,was,0,0,0,0,0,0,0,2,15,0
ToomAm00,2008,nyg,1,was,0,0,0,0,0,0,0,2,12,0
MossSi00,2008,nyg,1,was,0,0,0,0,0,0,0,1,23,0
